KIC_ID,APOGEE_ID,ASPCAP_ID,GAIADR3_ID,numax,numax_err,Dnu,Dnu_err,EvoState,L,L_err,Fe_H,Fe_H_err,alpha_M,alpha_M_err,Rg,Rg_16,Rg_84,Zmax,Zmax_16,Zmax_84,e,e_16,e_84,Lz,Lz_16,Lz_84,E,E_16,E_84,vR,vR_16,vR_84,vT,vT_16,vT_84,vZ,vZ_16,vZ_84,age_Dnu,age_16_Dnu,age_84_Dnu,mass_Dnu,mass_16_Dnu,mass_84_Dnu,rad_Dnu,rad_16_Dnu,rad_84_Dnu,dist_Dnu,dist_16_Dnu,dist_84_Dnu,age_L,age_16_L,age_84_L,mass_L,mass_16_L,mass_84_L,rad_L,rad_16_L,rad_84_L,dist_L,dist_16_L,dist_84_L,warn_low_numax,warn_high_Dnu,warn_high_RUWE,warn_NSS,warn_APOGEE,warn_plax_err,warn_dustmaps,warn_nve_Av_Dnu,warn_nve_Av_L,warn_massdiff,RelDat_Dnu,RelDat_L,RelAge_Dnu,RelAge_L
9845323,2M19485274+4638520,apogee.apo25m.synspec_fix.K09_081+11.2M19485274+4638520,1636148068921376768,5.51,0.18,0.875,0.044,0,197.01114974156195,8.65359854572347,0.030163,0.008141168,0.076005995,0.004395636,7.295011062722231,7.275172093938228,7.311722890285532,0.6677816700641986,0.5376943593499255,0.8120026678275194,0.1733735040561533,0.151365979706194,0.1953021029009976,1618.9521568329656,1614.932547446079,1622.335854874319,-44266.88959286913,-44673.26181304812,-43816.7490479305,49.74197121852348,42.08337319827164,57.1382731016323,205.23124984081983,204.57732155887325,205.6831702144405,-27.680259735127443,-31.506864798941404,-23.770828683282144,6.475234,3.437159,11.806071,1.167734,0.981021,1.407721,28.277386,26.055907,30.889513,1512.792969,1312.128906,1722.519531,5.79661,4.851285,7.088331,1.185853,1.120618,1.250942,26.189879,24.968442,27.307356,1446.191406,1365.859375,1527.8125,True,False,False,True,False,False,False,False,False,True,False,False,False,False
9845795,2M19492354+4641424,apogee.apo25m.synspec_fix.K09_081+11.2M19492354+4641424,1636148068921376768,44.62,0.74,4.662,0.039,2,63.32534800251021,3.290844783246296,-0.11778,0.0070055914,0.026752666,0.0057029487,8.404884377060906,8.401839998970901,8.408210231903585,0.5052026355050836,0.4815890886592783,0.5304228179543489,0.1446284833722416,0.1388543406539183,0.1511754771806005,1839.6213260958543,1839.0259535168163,1840.2716908541163,-38916.92397749068,-38995.29498939864,-38824.62203630893,37.68888912810781,35.55765309905535,40.02051694385951,231.99040838459464,231.61321003961788,232.334031783132,2.58836668774638,2.330006899216811,2.856308451916004,2.221329,1.90492,2.363794,1.538977,1.50804,1.635781,10.825647,10.775107,11.115569,2165.175781,2072.539062,2270.917969,2.005141,1.721495,2.372249,1.59133,1.505956,1.676908,10.785721,10.635533,10.99377,2154.277344,2090.175781,2233.027344,False,False,False,False,False,False,False,False,False,False,True,True,True,True
9846098,2M19494147+4637308,apogee.apo25m.synspec_fix.K09_081+11.2M19494147+4637308,1636148068921376768,48.71,0.57,4.873,0.0139999999999999,1,52.86299700109686,2.739699288674597,-0.49245,0.007641596,0.090733,0.0075680413,9.29848314479472,9.292030549813656,9.306100325432142,1.2896826369548364,1.2495345164151974,1.3291932372824036,0.2135438322241201,0.2120574266293242,0.2151097689494704,2012.499349455334,2011.263183318276,2013.9584166898903,-33110.58687659585,-33145.152687282905,-33072.5269641395,24.38639182272796,23.07517265574784,25.56218121645985,254.4104134589965,254.1153440262389,254.73135779950684,43.41818899583927,42.44044517191424,44.34465973335762,1.525079,1.319855,1.76106,1.623495,1.55568,1.694805,10.556298,10.38976,10.726007,1953.789062,1890.449219,2019.160156,2.789076,2.327808,3.370133,1.359937,1.28592,1.4332,10.090735,9.754042,10.445724,1867.460938,1771.757812,1968.808594,False,False,False,False,False,False,False,False,False,False,True,True,True,True
9846355,2M19495858+4640059,apogee.apo25m.synspec_fix.K09_081+11.2M19495858+4640059,1636148068921376768,32.05,0.56,3.879,0.017,2,47.95641303800196,1.173771691079211,0.13444,0.0070221999999999,0.0328324,0.004490564,6.190998857833431,6.189431192112125,6.192573508131564,0.2842779956135207,0.2770830112565531,0.291853647580491,0.2546875126123067,0.2534202903582593,0.256101800506753,1390.0793394808898,1389.745842560789,1390.414294879645,-50527.99457060118,-50581.641346332144,-50472.48991503865,40.97940256946098,39.903711619221006,42.115764675964485,175.29966106211504,175.22928114653172,175.36866167679088,-15.91800496327096,-16.236694129666727,-15.59966567424248,8.011049,7.168349,8.912799,1.064867,1.031643,1.106164,10.795682,10.694163,10.936421,535.605469,522.226562,548.696289,7.84759,7.162811,8.624213,1.066608,1.037436,1.09621,10.447883,10.328072,10.6176,520.131836,507.753906,533.310547,False,False,False,False,False,False,False,False,False,False,True,True,True,True
9846437,2M19500510+4636054,apogee.apo25m.synspec_fix.K09_081+11.2M19500510+4636054,1636148068921376768,15.11,0.5,1.7719999999999998,0.022,0,243.5857494404791,20.830302718726312,-0.013460999,0.007390574,0.0173072999999999,0.0051400553999999,7.779501221290834,7.575710526769108,8.017405593905345,0.8829217019531723,0.8291101913716304,0.9404589188727596,0.0706893823324561,0.0543293995242901,0.0852609655985658,1716.2376376370296,1675.5149638419894,1763.441911669072,-42181.416298200056,-43290.63669085356,-40916.74838086729,-1.4972227847560204,-1.7516926933886894,-1.2169810645012469,201.18840735750905,198.7204798818512,203.9582686506845,-11.528017821190042,-12.175569208792483,-10.83394518118514,0.533719,0.419843,0.726818,2.661428,2.367644,2.856309,24.765949,23.601143,25.509919,4654.101562,4323.28125,4930.351562,0.686326,0.508699,0.921147,2.452862,2.194998,2.695537,24.248875,22.715705,25.937545,4501.640625,4109.023438,4924.921875,True,False,False,False,False,False,False,False,False,False,False,False,False,False
9846810,2M19502994+4639147,apogee.apo25m.synspec_fix.K09_081+11.2M19502994+4639147,1636148068921376768,39.77,0.75,4.216,0.025,2,68.67058466490582,4.92676946778633,0.12276,0.008487281,0.0060290005,0.0057201586,8.986717834951104,8.934443290372332,9.041900446965176,0.6828202246537864,0.6519931856845497,0.7134767224138028,0.1277363999773924,0.1237891863353329,0.1320375555843061,1952.5828337539765,1942.4970780967876,1963.2170520390605,-36184.07394199715,-36488.83726923963,-35863.709124487934,-6.385976112044914,-6.68316660243508,-6.117976439928192,243.02462218992412,242.34023433918256,243.76276460185937,-4.159012007657287,-4.611196699480184,-3.675534863599058,2.158965,1.924661,2.774507,1.638675,1.505876,1.713288,11.886143,11.523461,12.080141,2875.429688,2759.0625,2980.976562,1.84465,1.556548,2.268933,1.723554,1.599615,1.84348,11.376916,10.857313,12.02764,2734.53125,2531.5625,2966.71875,False,False,False,False,False,False,False,False,False,False,True,True,True,True
9846877,2M19503467+4640291,apogee.apo25m.synspec_fix.K09_081+11.2M19503467+4640291,1636148068921376768,37.35,0.48,4.306,0.045,2,49.79548564080752,1.6968429889073655,-0.047994,0.007087431,0.045979,0.005278673,7.162125837177765,7.14924610232339,7.17485856914385,0.5431924226719302,0.5266731901135024,0.5598580965116718,0.1881374660846778,0.1831753319360345,0.1928804416708079,1591.9700901118115,1589.347537527689,1594.5614156783352,-45015.81892329223,-45043.52119837911,-44986.57620794075,50.06585546152519,48.61587052721385,51.447824193425525,201.62550779136012,201.259480299137,201.98547078458756,24.11932224250496,23.58015695869448,24.66214195116757,4.220893,3.874433,4.658451,1.269742,1.231551,1.305624,10.749925,10.61103,10.858279,1606.953125,1567.617188,1646.582031,6.192762,5.601402,6.840063,1.120185,1.081696,1.160412,10.5009,10.390264,10.643912,1573.652344,1539.785156,1608.535156,False,False,False,False,False,False,False,False,False,False,True,True,True,True
9846977,2M19504157+4639280,apogee.apo25m.synspec_fix.K09_081+11.2M19504157+4639280,1636148068921376768,32.67,0.57,4.088,0.034,2,65.87446082427253,9.301157805621187,0.087371,0.0070351367,0.019767301,0.0047007888,5.591792630267165,5.583222069613757,5.601388302850397,0.3561929426671584,0.3452982841993231,0.3678757008873611,0.2942709343656906,0.2931944867246062,0.2952453949223991,1260.4907355039093,1258.6043899256622,1262.6015387193747,-54007.54997410128,-54073.6818154869,-53934.45955765568,-6.8256473051825655,-7.312558502044059,-6.39028410535685,159.3294154832511,159.1769158192891,159.5006800471634,-1.736577042540735,-2.052282652363666,-1.395318029825659,8.749711,7.2427,10.791552,1.020778,0.969288,1.077627,10.346149,10.138294,10.55939,1910.703125,1843.632812,1980.019531,2.900175,2.021419,4.265665,1.465033,1.288102,1.652905,10.910048,10.734831,11.704508,1998.496094,1918.652344,2084.882812,False,False,True,False,False,False,False,False,False,False,False,False,False,False
9847159,2M19505230+4636115,apogee.apo25m.synspec_fix.K09_081+11.2M19505230+4636115,1636148068921376768,28.94,0.27,3.41,0.018,1,49.98093483840623,3.410001642252793,0.037254,0.009397056,0.040848,0.0058897034999999,7.00844404935074,6.935247870518466,7.084253674725014,0.578282187827574,0.5523300510823509,0.6042542782107191,0.2444018270782049,0.2420617812019627,0.2469430008483637,1560.5900539357542,1545.5753385450346,1576.0935725494696,-44810.58703044499,-45348.45351573833,-44250.87700109994,-65.26325923022938,-67.2819182742184,-63.16259306834757,194.84521911234165,193.34786047454236,196.3848140749861,-5.06564987411015,-5.248989519569831,-4.883664181927406,6.236076,5.361864,7.22134,1.17558,1.128783,1.226103,11.917911,11.727586,12.1242,2744.570312,2650.117188,2843.90625,7.895626,6.204932,10.184804,1.094789,1.018441,1.172007,11.331964,10.815804,11.870857,2614.257812,2439.394531,2800.234375,False,False,False,False,False,False,False,False,False,False,True,True,True,True
9847893,2M19513798+4640198,apogee.apo25m.synspec_fix.K09_081+11.2M19513798+4640198,1636148068921376768,22.2,0.41,3.752,0.068,2,51.00669403413508,1.6434238408712372,-0.49403,0.0077011697,0.228175,0.007461646,7.1005880668140176,7.092153946799447,7.108777304283616,0.3498441765646707,0.3428382503705177,0.356332137911297,0.351017551307439,0.3472236218269631,0.3545478580549728,1579.4278712519324,1577.706506377291,1581.0987046280595,-41559.18435598727,-41746.24480581736,-41383.72667660544,-103.81744266256275,-105.06256576063282,-102.47114874892772,200.10327652222463,199.87946010130617,200.31688710135504,1.891821076872251,1.80349964721596,1.9758831589540475,19.154903,18.534813,19.547188,0.761643,0.754232,0.76798,10.422608,10.380894,10.462772,1297.382812,1278.613281,1315.9375,,,,,,,,,,,,,False,False,False,False,False,False,False,False,,False,True,True,True,False
